;7.450000;46.930000;600793.187895;197509.512670
;7.590000;47.560000;611319.262908;267554.369234
;7.590000;47.560000;611319.262908;267554.369234
;7.780000;47.560000;625617.215066;267599.127279
;8.310000;47.580000;665475.241118;270130.499256
;8.600000;47.650000;687173.308431;278194.634579
;9.460000;46.840000;754087.442818;189490.806884
;8.240000;47.520000;660277.930041;263404.226746
;8.170000;47.460000;655068.658711;256682.679435
;7.780000;47.260000;625762.025452;234248.432131
;8.250000;47.390000;661180.373638;248960.430855
;9.640000;47.380000;766127.419422;249863.847369
;5.970000;46.150000;486478.638182;111874.015795
;6.890000;46.350000;557699.836833;133188.688294
;7.080000;46.150000;572221.604559;110873.694176
